pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
SW120BZ,SW12 0BZ,SW12 0BZ,198001,,0,529036,173867,1,E00022531,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004480,E02000948,E33036598,E38000193,E34004707,E35000095,A1,2D2,51.449096,-0.144473,E37000023,,E23000001,28021,E57000003,E54000031
SW120DA,SW12 0DA,SW12 0DA,198001,,0,529093,173924,1,E00022526,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004480,E02000948,E33036598,E38000193,E34004707,E35000095,A1,2D2,51.449595,-0.143633,E37000023,,E23000001,28021,E57000003,E54000031
SW120DB,SW12 0DB,SW12 0DB,198001,,0,529132,173982,1,E00022526,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004480,E02000948,E33036598,E38000193,E34004707,E35000095,A1,2D2,51.450107,-0.143051,E37000023,,E23000001,28021,E57000003,E54000031
SW120DD,SW12 0DD,SW12 0DD,198001,,0,529154,174051,1,E00022526,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004480,E02000948,E33036598,E38000193,E34004707,E35000095,A1,2D2,51.450722,-0.142709,E37000023,,E23000001,28021,E57000003,E54000031
SW120DE,SW12 0DE,SW12 0DE,198001,,0,529166,174129,1,E00015274,E13000001,E99999999,E09000022,E05000418,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000418,E99999999,E01003030,E02000636,E33035149,E38000092,E34004707,E35000161,A1,2D2,51.451421,-0.142508,E37000023,,E23000001,17315,E56000010,E54000030
SW120DF,SW12 0DF,SW12 0DF,198001,,0,529155,174232,1,E00015275,E13000001,E99999999,E09000022,E05000418,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000418,E99999999,E01003031,E02000640,E33035165,E38000092,E34004707,E35000161,A1,3D3,51.452349,-0.142603,E37000023,,E23000001,11631,E56000010,E54000030
SW120DG,SW12 0DG,SW12 0DG,198001,,0,529025,174326,1,E00015268,E13000001,E99999999,E09000022,E05000418,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000418,E99999999,E01003030,E02000636,E33035149,E38000092,E34004707,E35000161,A1,2D2,51.453224,-0.144439,E37000023,,E23000001,17315,E56000010,E54000030
SW120DH,SW12 0DH,SW12 0DH,198001,201602,1,529048,174314,1,E00015268,E13000001,E99999999,E09000022,E05000418,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000418,E99999999,E01003030,E02000636,E33035149,E38000092,E34004707,E35000161,A1,2D2,51.45311,-0.144138,E37000023,,E23000001,17315,E56000010,E54000030
SW120DJ,SW12 0DJ,SW12 0DJ,200112,200601,1,528557,173552,1,E00022496,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004474,E02000943,E33036573,E38000193,E34004707,E35000095,A1,2D3,51.446374,-0.151477,E37000023,,E23000001,16534,E57000003,E54000031
SW120DL,SW12 0DL,SW12 0DL,198001,,0,529170,173825,1,E00015954,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,2D2,51.448688,-0.142561,E37000023,,E23000001,15308,E56000010,E54000030
SW120DN,SW12 0DN,SW12 0DN,198001,,0,529142,173866,1,E00015954,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,2D2,51.449063,-0.142949,E37000023,,E23000001,15308,E56000010,E54000030
SW120DP,SW12 0DP,SW12 0DP,198001,,0,529285,173919,1,E00015946,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,2D2,51.449506,-0.140873,E37000023,,E23000001,15308,E56000010,E54000030
SW120DQ,SW12 0DQ,SW12 0DQ,198001,199405,1,529100,174200,8,E00015274,E13000001,E99999999,E09000022,E05000418,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000418,E99999999,E01003030,E02000636,E33035149,E38000092,E34004707,E35000161,A1,2D2,51.452074,-0.143432,E37000023,,E23000001,17315,E56000010,E54000030
SW120DR,SW12 0DR,SW12 0DR,198001,,0,529225,173931,1,E00015946,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,2D2,51.449628,-0.141732,E37000023,,E23000001,15308,E56000010,E54000030
SW120DS,SW12 0DS,SW12 0DS,198001,,0,529192,173958,1,E00015944,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,2D2,51.449878,-0.142171,E37000023,,E23000001,15308,E56000010,E54000030
SW120DT,SW12 0DT,SW12 0DT,200208,,0,528966,173663,1,E00022498,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004473,E02000948,E33036595,E38000193,E34004707,E35000095,A1,2D2,51.447278,-0.145554,E37000023,,E23000001,22310,E57000003,E54000031
